promo_name;promo_description;promo_type
Вместе дешевле;Вместе дешевле! Не пропустите вкусные предложения от IRBIS: - любой кофе + любая шаурма - любой кофе + любой хот-дог - любой кофе + любая  выпечка выгоднее на 30 рублей.  Уточняйте подробности акции у операторов АЗС.;stiu
Акция «Бесплатная проверка углов установки колес!*»;С 1 апреля по 31 мая в сервисном центре Genesis по адресу г. Казань, ул. Техническая, 27 к.1, действует специальное предложение − проверка углов установки колес БЕСПЛАТНО!  *Подробности акции в нашем сервисном центре: Тел. 8-843-222-88-08. 8-21    ;stiu
Скидка 2 руб./м³ на АГНКС 847 км;До конца мая на АГНКС IRBIS 847 км федеральной трассы М7 действует специальное предложение: скидка 2 руб./м³ при заправке метаном от 20 м³!   Акция действует при оплате банковскими картами, наличными средствами и топливными картами только на АГНКС по адресу: РТ, Пестречинский р-н, 847-й км федеральной трассы М7 Москва-Уфа.   Период проведения акции: до 31.05.2023 включительно. ;np
Заправляйся с умом;Масштабный розыгрыш призов от АЗС IRBIS, приуроченный к 25-летнему юбилею компании!  Совершая покупки с 04.05.23 по 15.10.23 с использованием карты лояльности Smart вы становитесь участником розыгрыша призов, где главный приз – автомобиль OMODA C5!  Также среди призов: • 8 сертификатов по 50 000 бонусных баллов • 10 сертификатов по 10 000 бонусных баллов • 500 сертификатов по 500 бонусных баллов • >1 000 000 моментальных призов в приложении АЗС IRBIS!  Чтобы принять участие в акции необходимо: 1. Обновить мобильное приложение «АЗС IRBIS» до последней версии 2. Совершить 6 акционных покупок с предъявлением карты лояльности Smart или мобильного приложения в период проведения розыгрыша. Учитываются заправки от 25 л любым видом топлива или покупки от 250 рублей в маркетах при АЗС (кроме табачной продукции). Акция не действует при оплате топлива или товара бонусными баллами.  За каждые 6 акционных покупок вы получаете 1 купон. В течение календарного дня можно получить не более 1 купона. Получить моментальный приз можно только в мобильном приложении «АЗС IRBIS», после открытия электронного купона. Все полученные моментальные призы хранятся во вкладке «Заправляйся с умом 2023» - «Ваши призы», а также в корзине мобильного приложения (достижения).  Отслеживать количество купонов можно в личном кабинете на сайте www.smart.azsirbis.ru или в мобильном приложении «АЗС IRBIS».  Подробные правила акции: http://azsirbis.ru/upload/pdf/Zapravlaysya_s_umom_2023.pdf;np
Скидка на кофе в свою кружку;Покупайте кофе в свою кружку и получайте скидку 20 рублей!  *Акция действует на всех АЗС IRBIS. Акционная номенклатура не участвует в акции «6-я чашка в подарок».   ;stiu
Навстречу выгоде!;Заправляйтесь бензином от 25 л на АЗС IRBIS с выгодой до 2 рублей с литра топлива: – кешбэк 2 руб./л* на карту лояльности Smart при оплате через сервис бесконтактной заправки IRBIS Pay – скидка 1 руб./л при оплате наличными средствами или банковской картой  Акция действует с 02.05.23 по 14.05.23 включительно на АЗС IRBIS в республиках Татарстан, Чувашия, Марий Эл, в городах Арзамас и Дзержинск.  *1 бонусный балл = 1 рубль. Предложение не суммируется с другими акциями и не действует при оплате бонусными баллами.  Подробные условия акции: http://azsirbis.ru/upload/pdf/Navstrechu_vygode_May_2023.pdf;np
Скидка на дизельное топливо на АЗС IRBIS ;До 14.05.2023 включительно заправляйтесь дизельным топливом от 25 л на АЗС IRBIS с выгодой до 2 рублей с литра топлива: − кешбэк 2 руб./л* на карту лояльности Smart при оплате по IRBIS Pay − скидка 1 руб./л при оплате наличными средствами или банковской картой на кассе  *1 бонусный балл = 1 рубль. Акция действует с 02.05.2023 по 14.05.2023 на всех АЗС IRBIS (за исключением Самары и Тольятти). Предложение не суммируется с другими акциями и не действует при оплате заправки бонусными баллами.   Подробные условия акции: http://azsirbis.ru/upload/pdf/Skidka_DT_May_2023.pdf;np
Делись кодом с другом;"Теперь рекомендовать АЗС IRBIS стало выгодно! Отправляйте реферальный код из мобильного приложения АЗС IRBIS друзьям и получайте по 150 баллов за каждого друга!  Что нужно сделать: 1. В разделе ""Ещё"" - ""Промокоды"" нажмите на клавишу ""Поделиться промокодом"" и отправьте его друзьям.  2. Другу необходимо зарегистрироваться в мобильном приложении АЗС IRBIS, ввести реферальный код в разделе ""Промокоды"" и совершить 2 заправки от 25 литров  3. После этого каждый (и вы, и друг) получает по 150 баллов на карту лояльности!  Количество приглашаемых друзей - не ограничено.  Подробные правила: http://azsirbis.ru/upload/pdf/Referral_program_rules_2023.pdf";stiu
Скидка на газ;До 14.05.2023 включительно заправляйтесь газом от 25 л на АЗС IRBIS с выгодой до 2 рублей с литра топлива: − кешбэк 2 руб./л* на карту лояльности Smart при оплате по IRBIS Pay − скидка 1 руб./л при оплате наличными средствами или банковской картой на кассе  *1 бонусный балл = 1 рубль. Предложение не суммируется с другими акциями и не действует при оплате заправки бонусными баллами.   Акция действует с 02.05.2023 по 14.05.2023 на АЗС IRBIS в Татарстане, Чувашии, Марий Эл, Владимирской, Нижегородской, Пензенской областях, г. Сызрань.   Подробные правила акции: http://azsirbis.ru/upload/pdf/Skidka_gaz_May_2023.pdf;np
С вас отзыв — с нас заправка! ;До конца мая делитесь впечатлениями о новой АГНКС IRBIS в соцсетях и получайте заправку метаном в подарок: 10 м³ за отзыв с фото или 20 м³ за видеоотзыв.*  Как получить заправку метаном в подарок? 1. Заправьтесь на АГНКС IRBIS на 847 км трассы М7 2. Опубликуйте пост с отзывом на своей странице ВКонтакте с хэштегом #АГНКС_IRBIS 3. Свяжитесь с нами в личных сообщениях группы Сеть АЗС «IRBIS»: https://vk.com/azsirbis   Ваша страница ВКонтакте должна быть открытой.  *Заправка метаном начисляется в виде бонусных баллов на карту лояльности Smart, из расчета 1м³ метана = 20 баллам. Одному участнику баллы за отзыв начисляются только один раз за период проведения акции.  Акция действует до 31.05.2023 только на АГНКС 847-й км федеральной трассы М7.;np
Розыгрыш призов!;В нашем сервисном центре стартует уникальная акция – розыгрыш призов**. Только с 23 апреля до 23 мая!  1. Приобретите товар на сумму от 1500* руб., получите купон. 2. Заполните купон на кассе и оформите участие в розыгрыше призов с продавцом, положите купон в лототрон. 3. Сохраните чек до окончания акции. 4. Приходите на розыгрыш 27 мая и участвуйте в розыгрыше призов***.  Вас ждут отличные призы – смарт-часы, умная колонка Яндекс и суперприз – телевизор с диагональю 43’’. О месте и времени проведения розыгрыша мы сообщим дополнительно!  Мы ждем Вас по адресу: ЖК «Царево Village», ул. Габдуллы Тукая, 2А тел: 8 (843) 222-88-06  * За 1 чек на сумму от 1500 руб. можно получить только 1 купон.  ** Призы могут отличаться от их изображений.  ***В розыгрыше принимают участие только клиенты, пришедшие на мероприятие.   Подробности акции в сервисном центре. Сотрудники ООО «Транзит-Ойл» и их родственники не имеют права принимать участие в акции. Предложение не является публичной офертой. ;stiu
Воскресный бонус - тройной бонус!;"Уважаемые Клиенты! Не упустите свой шанс получить тройные бонусы в воскресенье! С 00.00 до 24.00 при заправке любым топливом на АЗС IRBIS начисляются тройные бонусы* на Вашу карту SMART! Акция действует на следующих АЗС: - АЗС IRBIS, г. Казань, ул. Адоратского, 50В, - АЗС IRBIS, г. Казань, ул. Дубравная, 8А, - АЗС IRBIS, г. Казань, пр. Победы, 194А, - АЗС IRBIS, г. Казань, ул. Ак. Глушко, 8А, - АЗС IRBIS, г. Казань, ул. Космонавтов, 65 к. 1, - АЗС IRBIS, г. Казань, ул. Тихорецкая, 19/2, - АЗС IRBIS, г. Казань, ул. Тэцевская, 223,⁠ - АЗС IRBIS, г. Казань, Сибирский тракт, 40А, - АЗС IRBIS, г. Казань, Сибирский тракт, 50А, - АЗС IRBIS, г. Казань, ул. Декабристов, 81А, - АЗС IRBIS, г. Казань, ул. Миля, 1Б, - АЗС IRBIS, г. Казань, ул. Маршала Чуйкова, 6В, - АЗС IRBIS, г. Казань, ул. Аделя Кутуя, 160Б, - АЗС IRBIS, г. Казань, ул. Техническая, 27, - АЗК IRBIS, с. Сокуры, 29-й км автодороги Казань-Оренбург, - АЗС IRBIS, г. Зеленодольск, ул. Столичная, 34, - АЗС IRBIS, г. Зеленодольск, ул. Гоголя, 7, - АЗС IRBIS, г. Наб. Челны, ул. Металлургическая (Стройбаза), - АЗС IRBIS, г. Наб. Челны, Казанский Проспект, 261, - АГЗС IRBIS, г. Наб. Челны, ул. Машиностроительная, 92, - АЗС IRBIS, г. Наб. Челны, Альметьевский тракт, - АЗС IRBIS, г. Наб. Челны, ул. Раскольникова, 7, - АЗС IRBIS, г. Наб. Челны, ул. Промышленная, 135А, - АЗС IRBIS, г. Наб. Челны, ул. Промышленная, 134, - АЗС IRBIS, г. Наб. Челны, Набережная Тукая, 2/1, - АЗС IRBIS, г. Наб. Челны, Автозаводский пр-т, 61, - АЗС IRBIS, РТ, с. Большая Шильна, ул. Животноводов, 25, - АЗС IRBIS, РТ, Елабужский район, с. Поспелово, - АЗС IRBIS, г. Лениногорск, ул. Чайковского, 19И, - АЗК IRBIS, 847-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 843-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 810-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 812-й км трассы М-7 «Волга» (Москва-Уфа), - АЗС IRBIS, РТ, Верхнеуслонский район, 7-й км трассы Р-241, - АЗС IRBIS, г. Чебоксары, Марпосадское шоссе, 30Б, - АЗС ТранзитСити, г. Козловка, ул. Лобачевского, 34, - АЗС IRBIS, 5-й км автодороги Нижнекамск - Набережные Челны, - АЗС IRBIS, 22-й км автодороги Шали - Сорочьи Горы, - АЗС IRBIS, Нижегородская область, Кстовский р-н, д. Афонино, ул. Магистральная, 136Б, - АЗС IRBIS, Нижегородская область, Кстовский р-н, с. Большая Ельня, ул. Магистральная, - АЗС IRBIS, РМЭ, г. Йошкар-Ола, Сернурский тракт, 23, - АЗС IRBIS, РМЭ, г. Йошкар-Ола, ул. Прохорова, 33, - АЗС IRBIS, Самарская обл., г. Самара, ул. Аэродромная, 72Б, - АЗС IRBIS, Самарская обл., г. Самара, ул. Дзержинского, 29А, - АЗС IRBIS, Самарская обл., г. Самара, ул. Физкультурная, 101А, - АЗС IRBIS, Самарская обл., г. Сызрань, ул. Выборгская, 1Б, - АЗС IRBIS, Самарская обл., г. Тольятти, ул. Борковская, 69, - АЗС IRBIS, Самарская обл., г. Тольятти, Приморский бульвар, 45В, - АЗС IRBIS, Самарская обл., г. Тольятти, ул Маршала Жукова, 1А, - АЗС IRBIS, Самарская обл., г. Тольятти, ул. Громовой, 88. *** Скидки по акциям не суммируются. Акция не действует при оплате топливными картами и через сервис ""Яндекс Заправки"". *стандартный процент начисления - 1% ";np
Умножаем бонусы при заправке ГАЗОМ!;"Уважаемые клиенты! При заправке газом на АГЗС «IRBIS» начисляются повышенные бонусы на карту SMART! - 1% от суммы покупки начисляется, если количество заправленных литров газа менее 30 л.; - 2% от суммы покупки начисляются, если количество заправленных литров газа более 30 л., но менее 80 л.; - 3% от суммы покупки начисляются, если количество заправленных литров газа более 80. *** Скидки по акциям не суммируются. Акция не действует при оплате топливными картами и через сервис ""Яндекс Заправки"".. Акция действительна на всех АГЗС ""IRBIS"".  Полные правила акции доступны по ссылке: http://azsirbis.ru/upload/pdf/pravila_umnozhaem_bonusy_pri_zapravke_gazom.pdf               ";np
Двойные бонусы за улучшенное топливо XTRim!;"Уважаемые Клиенты! Заправляясь улучшенным топливом XTRim, Вы получаете двойные баллы на Ваш бонусный счет.  Например: заправившись топливом XTRim на 1000 руб., Вам будет начислено 20 бонусных баллов. *** Скидки по акциям не суммируются. Акция не действует при оплате топливными картами и через сервис ""Яндекс Заправки"".. Акция действительна на всех АЗС ""IRBIS"".";np
Ночная заправка - тройные бонусы!;"Уважаемые Клиенты! Ежедневно с 00.00 до 05.00 при заправке любым топливом на городских АЗС получайте тройные бонусы на карту SMART. Акция действует на АЗС по адресам: - АЗС IRBIS, г. Казань, ул. Адоратского, 50В, - АЗС IRBIS, г. Казань, ул. Дубравная, 8А, - АЗС IRBIS, г. Казань, пр. Победы, 194А, - АЗС IRBIS, г. Казань, ул. Ак. Глушко, 8А, - АЗС IRBIS, г. Казань, ул. Космонавтов, 65 к. 1, - АЗС IRBIS, г. Казань, ул. Тихорецкая, 19/2, - АЗС IRBIS, г. Казань, ул. Тэцевская, 223,⁠ - АЗС IRBIS, г. Казань, Сибирский тракт, 40А, - АЗС IRBIS, г. Казань, Сибирский тракт, 50А, - АЗС IRBIS, г. Казань, ул. Декабристов, 81А, - АЗС IRBIS, г. Казань, ул. Миля, 1Б, - АЗС IRBIS, г. Казань, ул. Маршала Чуйкова, 6В, - АЗС IRBIS, г. Казань, ул. Аделя Кутуя, 160Б, - АЗС IRBIS, г. Казань, ул. Техническая, 27, - АЗК IRBIS, с. Сокуры, 29-й км автодороги Казань-Оренбург, - АЗС IRBIS, г. Зеленодольск, ул. Столичная, 34, - АЗС IRBIS, г. Зеленодольск, ул. Гоголя, 7, - АЗС IRBIS, г. Наб. Челны, ул. Металлургическая (Стройбаза), - АЗС IRBIS, г. Наб. Челны, Казанский Проспект, 261, - АГЗС IRBIS, г. Наб. Челны, ул. Машиностроительная, 92, - АЗС IRBIS, г. Наб. Челны, Альметьевский тракт, - АЗС IRBIS, г. Наб. Челны, ул. Раскольникова, 7, - АЗС IRBIS, г. Наб. Челны, ул. Промышленная, 135А, - АЗС IRBIS, г. Наб. Челны, ул. Промышленная, 134, - АЗС IRBIS, г. Наб. Челны, Набережная Тукая, 2/1, - АЗС IRBIS, г. Наб. Челны, Автозаводский пр-т, 61, - АЗС IRBIS, РТ, с. Большая Шильна, ул. Животноводов, 25, - АЗС IRBIS, РТ, Елабужский район, с. Поспелово, - АЗС IRBIS, г. Лениногорск, ул. Чайковского, 19И, - АЗК IRBIS, 847-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 843-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 810-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 812-й км трассы М-7 «Волга» (Москва-Уфа), - АЗС IRBIS, г. Чебоксары, Марпосадское шоссе, 30Б, - АЗС ТранзитСити, г. Козловка, ул. Лобачевского, 34, - АЗС IRBIS, 5-й км автодороги Нижнекамск - Набережные Челны, - АЗС IRBIS, 22-й км автодороги Шали - Сорочьи Горы, - АЗС IRBIS, Нижегородская область, Кстовский р-н, д. Афонино, ул. Магистральная, 136Б, - АЗС IRBIS, Нижегородская область, Кстовский р-н, с. Большая Ельня, ул. Магистральная, - АЗС IRBIS, РМЭ, г. Йошкар-Ола, Сернурский тракт, 23, - АЗС IRBIS, РМЭ, г. Йошкар-Ола, ул. Прохорова, 33, - АЗС IRBIS, Самарская обл., г. Самара, ул. Аэродромная, 72Б, - АЗС IRBIS, Самарская обл., г. Самара, ул. Дзержинского, 29А, - АЗС IRBIS, Самарская обл., г. Самара, ул. Физкультурная, 101А, - АЗС IRBIS, Самарская обл., г. Сызрань, ул. Выборгская, 1Б, - АЗС IRBIS, Самарская обл., г. Тольятти, ул. Борковская, 69, - АЗС IRBIS, Самарская обл., г. Тольятти, Приморский бульвар, 45В, - АЗС IRBIS, Самарская обл., г. Тольятти, ул Маршала Жукова, 1А, - АЗС IRBIS, Самарская обл., г. Тольятти, ул. Громовой, 88. *** При покупке любых видов бензина и дизельного топлива начисляется 3% от суммы покупки. Скидки по акциям не суммируются. Акция не действует при оплате топливными картами и через сервис ""Яндекс Заправки"".. ";np
Заправьтесь с выгодой на АГНКС IRBIS 847 км;Получите повышенный кешбэк 3% при заправке метаном любого объема на АГНКС IRBIS по адресу: 847 км федеральной трассы М-7 «Москва-Уфа».  Акция действует с 02.05.23 по 31.05.2023 при оплате банковскими картами, наличными средствами и топливными картами только на АГНКС IRBIS 847 км трассы М-7 «Москва-Уфа».   Уточняйте подробности акции у операторов АГНКС.;np
Вместе вкуснее;Только с 15.04.2023 по 01.10.2023 при покупке 2-х порций мягкого мороженого в рожке на АЗС IRBIS цена на каждое мороженое составляет 29 руб. вместо 49 руб.  Уточняйте подробности акции у операторов АЗС.;stiu
6-я шаурма за 1 рубль;Совершите покупку 5 (пяти) шт. шаурмы на АЗС IRBIS с использованием бонусной карты SMART и получите 6-ую шаурму всего за 1 рубль!  Акция действует на АЗС по адресам: • АЗС «IRBIS», 148-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 147-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 350-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 233-й км трассы М-7 «Волга» (Москва-Уфа) (справа) • АЗС «IRBIS», 233-й км трассы М-7 «Волга» (Москва-Уфа) (слева) • АЗС «IRBIS», 454-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 377-й км трассы М-7 «Волга» (Москва-Уфа) • АЗК «IRBIS», 611-й км трассы М-7 «Волга» (Москва-Уфа) (справа) • АЗК «IRBIS», 611-й км трассы М-7 «Волга» (Москва-Уфа) (слева) • АЗК «IRBIS», 710-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 734-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», г. Чебоксары, ул. Марпосадское Шоссе, 30б • АЗС «IRBIS», 12-й км автодороги «Вятка» • АЗС «IRBIS», г. Казань, ул. Адоратского, д. 50В • АЗС «IRBIS», г. Казань, ул. Тэцевская, д. 223 • АЗС «IRBIS», г. Казань, ул. Проспект Победы, 194А • АЗС «IRBIS», г. Казань, ул. Ак. Глушко, 8А • АЗС «IRBIS», г. Казань, ул. Дубравная, д. 8А • АЗС «IRBIS», г. Казань, ул. Сибирский тракт, 40А • АЗС «IRBIS», г. Казань, ул. Миля, 1Б • АЗС «IRBIS», РТ, п. Новая Тура • АЗС «IRBIS», г. Зеленодольск, ул. Столичная, 34 • АЗК «Сибнефть», 65-й км трассы Йошкар-Ола - Казань, Республика Марий Эл, пгт. Красногорский • АЗС «IRBIS», 843 км трассы М-7 • АЗС «IRBIS», 810-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», г. Наб. Челны, Казанский Проспект, 261 • АЗС «IRBIS», 5-й км автодороги Нижнекамск - Набережные Челны  В акции не участвуют товары со скидкой, а также комбообеды.   Подробнее с условиями акции вы можете ознакомиться по ссылке: http://azsirbis.ru/upload/pdf/shaurma_za_rubl.pdf;stiu
Дарим кофе за 1 рубль на новой АЗС в Набережных Челнах;В честь открытия новой АЗС IRBIS в Набережных Челнах по адресу: Мелиораторная улица, 1/7, кофе всего за 1 рубль при заправке от 25 л!   Акция действительна только на АЗС по адресу: г. Набережные Челны, Мелиораторная улица, 1/7  Период проведения акции: до 31.05.2023 включительно. ;np
Кофемания;"Уважаемые клиенты, акция «КОФЕМАНИЯ» – 6-я чашка за 1 рубль продолжается в новом удобном формате!  ⁠С 16.10.2017 г. совершите покупку 5-ти любых чашек кофе в минимаркетах при АЗС с использованием бонусной карты SMART или мобильного приложения «АЗС IRBIS» и получите 6-ю чашку за 1 рубль. Скидки по акциям не суммируются, акция не распространяется на комбо-обеды и на кофе приобретенное в свою тару. Акция не распространяется на покупки кофе в кафе ""Юмарт"". Подробнее об акции  http://azsirbis.ru/upload/pdf/Coffemania_pravila.pdf";stiu
Скидка 50% на горячий шоколад для детей ;Специальное предложение для самых маленьких посетителей АЗС IRBIS - скидка 50% на горячий шоколад! Акция действует для родителей с детьми до 14 лет. Чтобы ей воспользоваться, обратитесь к оператору АЗС.  Будем рады видеть вас на АЗС IRBIS со всей семьей!  ;stiu
ВЕСЕННИЙ КЕШБЭК НА ТОПЛИВО;Заправляйтесь любым видом топлива, покупайте товары кафе или минимаркета и получайте кешбэк до 3 ₽ баллами с каждого литра топлива на карту лояльности «Заправься выгодой».;np
ВЫГОДНЫЙ КУРС + КЕШБЭК;Узнайте, как сэкономить до 5 ₽ с каждого литра топлива в мае.;np
ВЕСЕННИЙ КЕШБЭК;Заправляйтесь любым видом бензина или СУГ, покупайте товары кафе или минимаркета и получайте кешбэк до 3 ₽ баллами с каждого литра топлива на карту лояльности «Заправься выгодой».;np
РЕАКТИВНОЕ УСКОРЕНИЕ;Достигайте новых уровней в программе лояльности в 2 раза быстрее с мобильным приложением «АЗС ЛУКОЙЛ»!;stiu
ВПЕРЁД — С КОФЕ!;Заправляйтесь от 30 литров и получайте скидку 30% на кофе.;stiu
СКИДКА 30% НА ТЕХНИКУ ДЛЯ ДОМА И САДА;Готовимся к дачному сезону с GreenWorks.;stiu
ПОМЕНЯЙТЕ ЩЕТКИ ВЫГОДНО;Покупайте две щетки стеклоочистителя AVTOPRIBOR и получайте 100 баллов на карту лояльности.;stiu
ВЫГОДА до 25% за заправку;"C 27.04 по 31.05 вы можете получить СУПЕРВЫГОДУ за заправку топливом:     - 10% на первую заправку от 1000₽ (5% скидка от Яндекс Заправок* + 5%** по программе лояльности Нефтьмагистраль) - 15% на вторую заправку от 1000₽ (10% скидка от Яндекс Заправок* + 5%** по программе лояльности Нефтьмагистраль) - 25% на третью заправку от 1000₽ (20% скидка от Яндекс Заправок* + 5%** по программе лояльности Нефтьмагистраль)*только для НОВЫХ пользователей сервиса Яндекс Заправки, при оплате через СБП **расчет сделан исходя из Золотого уровня в программе лояльности БУДЬ В ПЛЮСЕ (Золотой уровень доступен при покупке топлива за календарный месяц на сумму от 8000Р. ***Суммарно один пользователь может получить скидку не более 1000 рублей за весь период акции.Программа лояльности «Будь в плюсе» от АЗС Нефтьмагистраль — это: 1. Максимальная выгода на топливном рынке Москвы и МО. На Золотом уровне наши клиенты получают: кешбэк 5% бонусами = выгода до -3₽/ c 1 литра* 2. 100% оплата бонусами внутри экосистемы Нефтьмагистраль: товары в магазинах; блюда и напитки в кафе; мойка автомобиля. 3. Выгодные постоянные акции: каждый 6-й кофе — в подарок; каждое 10-е блюдо Гурманика и Магбургер — в подарок.*чтобы перейти на Золотой уровень, нужно заправиться топливом в месяц от 8000₽. *по топливным картам уровень программы лояльности всегда Бронза 3%.*АИ-100 — выгода -3₽ с 1 л; АИ-95 — выгода -2,6₽ с 1 л; АИ-95EVO — выгода -2,6₽ с 1 л; АИ-92 — выгода -2,4₽ с 1 л; ДТ — выгода - 2,7₽ с 1 л; СУГ — выгода -1,4₽ с 1 л; КПГ — выгода -1₽ с 1 л.*расчет сделан исходя из Золотого уровня в программе лояльности «Будь в плюсе». Подробности акции: https://tanker.s3.yandex.net/discount_sbp5_10_20.pdf";np
Выгодные покупки;У нас на АЗС представлены самые выгодные предложения, сейчас товары бренда TALLER вы можете приобрести по суперценам со СКИДКАМИ до -40%: Штопор TalleR TR-65130 – 699₽ 1169₽ Консервный нож TalleR TR-65137 – 819₽ 1369₽ Пресс для чеснока TalleR TR-65132 – 669₽ 1149₽ Овощечистка с продольным лезвием TalleR TR-65136 – 329₽ 549₽ Нож поварской 20 см TalleR TR-22020 – 839₽ 1399₽ Нож для нарезки 20 см TalleR TR-22021 – 739₽ 1219₽ Нож для стейка 11,5 см TalleR TR-22022 – 469₽ 779₽ Нож универсальный 11,5 см TalleR TR-22023 – 469₽ 779₽ Доска разделочная TalleR TR-52216 набор 3 пр. – 949₽ 1569₽ Термос TalleR TR-22403, 0,5 л – 1099₽ 1829₽ Универсальная крышка TalleR TR-38007, 24-26-28 см –849₽ 1499₽ Контейнер для продуктов TalleR TR-38102 640 мл прямоугольный – 379₽ 629₽ Набор столовых приборов 16 пр. TalleR TR-21622 – 3899₽ 6229₽ Сковорода TalleR TR-44012, 24 см – 1679₽ 2789₽ Сковорода TalleR TR-44013, 26 см – 1999₽ 3369₽ Сковорода TalleR TR-44014, 28 см – 2299₽ 3719₽ Ковш TalleR TR-17261, 0,9 л – 1589₽ 2639₽ Кастрюля TalleR TR-17263, 3,0 л – 2379₽ 3949₽ Точилка TalleR TR-98096 – 669₽ 1109₽ Терка TalleR TR-21909 – 459₽ 769₽ Стакан TalleR TR-32338 350 мл – 579₽ 969₽ Кстати, оплатить товары можно 100% бонусами💫 Приезжайте к нам за самыми ВЫГОДНЫМИ и УДОБНЫМИ покупками на АЗС Нефтьмагистраль!🚘;stiu
Приводи друзей и получай +300 бонусов в подарок!;Приводи друзей и получай +300 бонусов в подарок! Делитесь промокодом с друзьями: ты и твои друзья получите по 300 бонусов в подарок. Как получить +300 бонусов? 1. Зайти в Личный кабинет ➩Пригласить друга ➩Поделиться промокодом 2. Чем больше друзей, тем лучше, ведь ты получишь по 300 бонусов за каждого друга. 3. Помоги друзьям установить мобильное приложение Нефтьмагистраль, авторизоваться, совершить первую заправку. Простые действия для друга: 1. Скачать приложение по ссылкеи авторизоваться. 2. Зайти в личный кабинет ➩ Промокоды ➩Ввести и активировать промокод в течение 7 дней после авторизации. 3. Совершить единоразовую заправку топливом на сумму не менее 1500 рублей. Ура! На твой бонусный счет и бонусный счет твоего друга будет начислено 300 подарочных бонусов! Будьте в плюсе вместе с друзьями!;stiu
Колесо фортуны!;ВЫ ЛЮБИТЕ ПОДАРКИ? Тогда собирайте фишки, крутите Колесо фортуны и получайте подарки! Да-да, подарки получат все, никто не уйдет без подарка - так устроено Колесо фортуны Нефтьмагистраль! Как это работает? Очень просто: 1. За каждые 300* р. покупок в магазине или кафе мы начисляем вам 1 фишку. 2. Когда вы соберете 25 фишек, вам будет предложено волшебное Колесо фортуны, в котором вы гарантированно получаете подарок, – прямо настоящая рулетка удачи. 3. Вы крутите Колесо фортуны, просто нажав на кнопку, и случайным образом будет выбран и начислен Подарок от нас. 4. Мы подобрали для вас 12 вариантов подарков: от вкусных блюд Гурманика и Магбургер до подарочных бонусов! Участвуйте и получайте подарки! А еще версия Колеса фортуны вам будет предложена при переходе на Золотой Уровень и в день рождения! Все потому, что мы очень ценим и любим своих Клиентов! Спасибо, что выбираете Нефтьмагистраль! *Учитываются покупки оплаченные денежными средствами, кроме табачных изделий и топлива.;stiu
БУРГЕРЫ 24/7;На наших 58 АЗС НЕФТЬМАГИСТРАЛЬ Вы можете попробовать бургеры СОБСТВЕННОГО ПРОИЗВОДСТВА😋Мы тщательно отбираем ингредиенты, чтобы бургеры получались вкусными и сочными 🍔Готовим из 100% мраморной говядины 🥩, выпекаем мягкие булочки, отбираем свежие овощи и подаём это всё под фирменными соусами 😋Каждый 10-й бургер идёт в ПОДАРОК🎁Кроме бургеров у нас есть хот-доги🌭, большие сытные роллы 🌯 и шаурма 🫔 на любой вкус🤩Вы уже предвкушаете это идеальное сочетание всех ингредиентов❓👀 Для Вас действует СКИДКА 50% на первый заказ через мобильное приложение👈🏻Ждём Вас на АЗС НЕФТЬМАГИСТРАЛЬ⛽💫;stiu
МОЙКА ЗА БОНУСЫ!;Платите бонусами - просто и очень быстро. На мойках НЕФТЬМАГИСТРАЛЬ лучшее немецкое оборудование и моечная химия! Как это работает: Шаг 1. Находясь на АЗС, войдите в приложении в раздел АЗС, нажмите ОПЛАТИТЬ МОЙКУ.Шаг 2. Выберите пост, на который поставили автомобиль (номер поста указан прямо на моечном аппарате), и сумму бонусов, которую желаете списать.Шаг 3. Выберите СПОСОБ ОПЛАТЫ и далее БОНУСАМИ, нажмите ОПЛАТИТЬ МОЙКУ.С заботой о Вас, НЕФТЬМАГИСТРАЛЬ 🤗;stiu
